N,X,Y,Z,Time,Jitter,Time Calculated,Sender
154,-1.024,-0.002,0.002,1653088432.142494,0.0020160198211662816,1653088432.140478,20.0
155,-1.0230000000000001,-0.002,0.002,1653088432.344947,0.004469156265258789,1653088432.340478,20.0
156,-1.024,-0.002,0.002,1653088432.52538,-0.015098047256472569,1653088432.540478,20.0
157,-1.024,-0.002,0.002,1653088432.727565,-0.012912893295290218,1653088432.740478,20.0
158,-1.024,-0.002,0.002,1653088432.930058,-0.01041994094848775,1653088432.9404778,20.0
159,-1.024,-0.002,0.001,1653088433.132562,-0.007916021347046609,1653088433.140478,20.0
160,-1.024,-0.002,0.002,1653088433.334966,-0.0055119991302490234,1653088433.340478,20.0
161,-1.024,-0.002,0.001,1653088433.537801,-0.0026769161224393656,1653088433.540478,20.0
162,-1.024,-0.002,0.002,1653088433.740405,-7.286071777201641e-05,1653088433.740478,20.0
163,-1.024,-0.002,0.002,1653088433.943345,0.002867126464842329,1653088433.9404778,20.0
164,-1.024,-0.002,0.002,1653088434.144852,0.004373979568477182,1653088434.140478,20.0
165,-1.024,-0.002,0.001,1653088434.324376,-0.016101837158203125,1653088434.340478,20.0
166,-1.024,-0.002,0.001,1653088434.52837,-0.012108039855959873,1653088434.540478,20.0
167,-1.025,-0.002,0.001,1653088434.73181,-0.008667850494383345,1653088434.740478,20.0
168,-1.024,-0.002,0.001,1653088434.9332,-0.007278060913087359,1653088434.9404778,20.0
169,-1.024,-0.002,0.001,1653088435.137352,-0.0031259536743206695,1653088435.140478,20.0
170,-1.024,-0.002,0.001,1653088435.338179,-0.0022988319396972656,1653088435.340478,20.0
171,-1.024,-0.002,0.001,1653088435.540125,-0.0003530502319364359,1653088435.540478,20.0
172,-1.024,-0.002,0.002,1653088435.7422,0.001721954345704546,1653088435.740478,20.0
173,-1.024,-0.002,0.002,1653088435.945235,0.004757070541380415,1653088435.9404778,20.0
174,-1.024,-0.002,0.002,1653088436.125117,-0.015360879898075552,1653088436.140478,20.0
175,-1.024,-0.002,0.002,1653088436.32769,-0.012788057327270508,1653088436.340478,20.0
176,-1.0230000000000001,-0.002,0.002,1653088436.529985,-0.010492992401125889,1653088436.540478,20.0
177,-1.024,-0.002,0.002,1653088436.732924,-0.0075539588928208445,1653088436.740478,20.0
178,-1.024,-0.002,0.001,1653088436.935671,-0.004806852340699663,1653088436.9404778,20.0
179,-1.024,-0.002,0.001,1653088437.136854,-0.0036240100860638336,1653088437.140478,20.0
180,-1.024,-0.002,0.002,1653088437.339327,-0.0011508464813232422,1653088437.340478,20.0
181,-1.024,-0.002,0.002,1653088437.541827,0.0013490200042696188,1653088437.540478,20.0
182,-1.025,-0.002,0.002,1653088437.74496,0.004482126235963335,1653088437.740478,20.0
183,-1.024,-0.002,0.001,1653088437.926285,-0.014192914962769976,1653088437.9404778,20.0
184,-1.025,-0.002,0.001,1653088438.127598,-0.012879896163944693,1653088438.140478,20.0
